"0x8b0890","Chapter Number Pointer","Object Type","Palette","Tile Configuration","Map","Tile Animation 1","Tile Animation 2","Triggerable Map Changes","Fog of War sight level (0 = No fog)","Battle Preparations","Save Menu Chapter Name","Always Zero","Unknown","Unknown","Weather Condition","Battle tileset","Hard Mode Bonus levels (top nibble only)","Byte 22","Player Phase music","Enemy Phase music","NPC Phase music","##UNKNOWN##","Player Phase music 2","Enemy Phase music 2","NPC Phase music 2","##UNKNOWN##","Destructible Walls HP","##UNKNOWN##","Byte 62","Byte 63","Byte 64","Byte 65","Byte 66","Byte 67","##UNKNOWN##","Event Data Reference","Worldmap Chapter Prologue Scene","##UNKNOWN##","Prep Screen Chapter Number (multiply by 2, e.g. Ch 2x = 2.5*2 = 5)","##UNKNOWN##","No. of enemies left for Grasping at Victory","Chapter Title Display Fade-out","Status - Objective Text","Goal Window Text","Goal Window Information","Turns to count down to +1","Protect Character Marker","Tile Marker - X-Coordinate","Tile Marker - Y-Coordinate","##UNKNOWN##"
"00 Prologue","0x81c32c8","0x1","0x2","0x3","0x4","0x5","0x0","0x6",0,0,"0x0","0x0","0x1","0x0",0,"0x0","0x10","0x0","0x9","0x9","0x9","0x909090909","0x9","0x9","0x9","0xffffffff",50,"0x8080808070707070606060605050505","0x0","0x64","0x0","0x64","0x0","0x64","0x16001600000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400","0x7","0x1","0x0",0,"0xffff00",0,"0x1","ClearConditionText","GoalWindowText",1,0,"0x0",255,0,"0x1d"
"01 Ch 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02 Ch 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03 Ch 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04 Ch 4/Zaha Woods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05 Ch 5x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06 Ch 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07 Ch 6/Adlas Plains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08 Ch 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09 Ch 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
